filename            , member, phrase          , augmentation, mfcc_0_mean        , mfcc_0_std         , mfcc_1_mean        , mfcc_1_std        , mfcc_2_mean        , mfcc_2_std        , mfcc_3_mean         , mfcc_3_std        , mfcc_4_mean         , mfcc_4_std        , mfcc_5_mean        , mfcc_5_std         , mfcc_6_mean        , mfcc_6_std        , mfcc_7_mean        , mfcc_7_std        , mfcc_8_mean          , mfcc_8_std        , mfcc_9_mean         , mfcc_9_std         , mfcc_10_mean         , mfcc_10_std        , mfcc_11_mean        , mfcc_11_std        , mfcc_12_mean       , mfcc_12_std        , spectral_rolloff_mean, spectral_rolloff_std, energy              , energy_std           , zcr_mean           , zcr_std             , spectral_centroid_mean, spectral_centroid_std
approve - alli.wav  ,       , approve - alli  , original    , -431.7928466796875 ,  81.8665542602539  , 114.07611846923828 , 58.07970428466797 , 4.398787498474121  , 25.045074462890625, 42.66483688354492   , 19.805631637573242, 11.924942016601562  , 19.939632415771484, 15.202880859375    , 19.407672882080078 , -5.199666500091553 , 19.106054306030273, -3.7551066875457764, 17.32651138305664 , 6.508541584014893    , 12.926840782165527, -4.097679138183594  , 11.626665115356445 , 0.09887820482254028  , 12.241317749023438 , 5.631429195404053   ,  6.448758602142334 , -7.212520122528076 ,  7.664825439453125 ,    3020.74951171875  ,   1990.2085881817222,  28.98371124267578  , 0.025219513103365898 , 0.09973415798611111, 0.13365830636755677 ,     1718.6575653343616,    1370.2646785887496
approve - alli.wav  ,       , approve - alli  , pitch_shift , -452.5280456542969 ,  82.24334716796875 , 106.83325958251953 , 53.93402099609375 , 12.38630485534668  , 31.50912094116211 , 39.40998458862305   , 21.013402938842773, 7.475846290588379   , 19.162199020385742, 7.290425777435303  , 19.994457244873047 , -11.579224586486816, 19.6452579498291  , 5.455996513366699  , 20.11734962463379 , 0.7580540180206299   , 11.277644157409668, -3.9563140869140625 , 13.697762489318848 , 6.065181255340576    ,  7.326022624969482 , -5.480892658233643  ,  7.011052131652832 , -2.510852813720703 , 11.159530639648438 ,    3405.8349609375   ,   2288.845454370875 ,  15.912952423095703 , 0.01868710108101368  , 0.118212890625     , 0.15417659572897666 ,     1920.8326199978405,    1570.3486694007252
approve - alli.wav  ,       , approve - alli  , time_stretch, -458.3446044921875 ,  82.85981750488281 , 112.86673736572266 , 56.93994140625    , 8.074196815490723  , 24.313138961791992, 41.2457275390625    , 20.55364227294922 , 12.886432647705078  , 19.865320205688477, 14.765920639038086 , 20.058996200561523 , -5.125123500823975 , 19.952646255493164, -3.04563307762146  , 17.942018508911133, 6.946501731872559    , 12.479329109191895, -4.348873615264893  , 12.135398864746094 , -0.37568357586860657 , 12.573129653930664 , 5.060056209564209   ,  5.144789218902588 , -7.42413330078125  ,  6.497453689575195 ,    2964.404296875    ,   1946.6517261873744,  18.4178524017334   , 0.021559469401836395 , 0.1051181891025641 , 0.1422761860868647  ,     1683.7403850070002,    1363.2318215623934
approve - alli.wav  ,       , approve - alli  , add_noise   , -316.18046468107207,  37.13256475352395 ,  38.95823648038551 , 33.91073986955863 , 24.578720249531745 , 11.580462462213449, 21.05213798563222   , 14.191937234894565, 11.415277301196953  , 13.04676113445574 , 10.487771138488288 , 15.291799022289647 , -1.2797784910829173, 15.534792927903421, 0.05372989479141231, 13.63181788026105 , 3.0263548230378103   , 13.011772181641906, -2.481854006564451  , 11.339500470073284 , 0.6791043696596982   , 10.179678399752909 , 1.4528443724136724  ,  6.3261282279334585, -2.6444797942548575,  6.777093501550101 ,    7693.57421875     ,   1696.9111182582294,  29.40081029708881  , 0.025400343165910756 , 0.240771484375     , 0.1476575031709502  ,     3855.316453804887 ,    1217.5916769331443
approve - alli.wav  ,       , approve - alli  , gain        , -438.73358154296875,  81.8665542602539  , 114.07611846923828 , 58.079708099365234, 4.398782730102539  , 25.04507827758789 , 42.66484069824219   , 19.805631637573242, 11.924939155578613  , 19.93963050842285 , 15.20288372039795  , 19.407672882080078 , -5.199668884277344 , 19.106054306030273, -3.755105972290039 , 17.32651138305664 , 6.508542060852051    , 12.926839828491211, -4.097679615020752  , 11.626665115356445 , 0.09887783974409103  , 12.241316795349121 , 5.6314287185668945  ,  6.448758125305176 , -7.212520122528076 ,  7.664825439453125 ,    3020.869140625    ,   1990.161944891314 ,  25.1655216217041   , 0.02349971979856491  , 0.09973415798611111, 0.13365830636755677 ,     1718.6575589632996,    1370.2646810356687
approve - ange.wav  ,       , approve - ange  , original    , -445.2643737792969 ,  60.811466217041016, 104.07756805419922 , 37.88951110839844 , 20.874677658081055 , 25.003890991210938, -0.431805282831192  , 18.273983001708984, 1.1477779150009155  , 11.064773559570312, 11.895696640014648 , 10.456809043884277 , -6.837561130523682 , 14.767512321472168, 7.425067901611328  ,  9.949838638305664, -3.901559829711914   ,  8.500676155090332, 1.0424652099609375  ,  8.009793281555176 , -2.5583908557891846  ,  6.942106246948242 , -2.8751893043518066 ,  8.974278450012207 , -0.7749196290969849,  5.459730625152588 ,    5067.58602366728  ,   2357.5136976707963,   9.004826545715332 , 0.011393359862267971 , 0.12761374080882354, 0.12134546873717941 ,     2395.8788902302904,    1284.5661010235442
approve - ange.wav  ,       , approve - ange  , pitch_shift , -472.0059814453125 ,  61.71467208862305 , 105.63963317871094 , 36.42578887939453 , 11.443803787231445 , 25.712072372436523, -4.465789794921875  , 20.409788131713867, 6.8739705085754395  , 13.29746150970459 , 5.815504550933838  , 10.939009666442871 , -5.617277145385742 , 11.104653358459473, 6.744053840637207  , 12.532085418701172, -8.817102432250977   , 10.346455574035645, 2.5851683616638184  ,  8.282588005065918 , -9.327567100524902   , 10.418631553649902 , 1.8029508590698242  ,  6.114165782928467 , -5.518659591674805 ,  5.344883441925049 ,    4921.603573069853 ,   2415.9783204430632,   3.536059617996216 , 0.007139600347727537 , 0.13286276424632354, 0.14299101794871308 ,     2417.561726008022 ,    1410.080780086812
approve - ange.wav  ,       , approve - ange  , time_stretch, -473.643798828125  ,  59.87886428833008 , 106.71257781982422 , 39.00002670288086 , 20.534088134765625 , 24.872989654541016, -0.09155657887458801, 19.59575843811035 , 1.2510690689086914  , 12.199872016906738, 12.376986503601074 , 11.215332984924316 , -8.31662368774414  , 15.373207092285156, 6.914612293243408  , 10.747998237609863, -4.380346298217773   ,  8.782303810119629, 0.15174482762813568 ,  8.364394187927246 , -2.9219419956207275  ,  6.996419429779053 , -3.82600474357605   ,  9.243062019348145 , -0.9047083258628845,  6.096762180328369 ,    4733.5637496689615,   2395.3853827918947,   3.6500403881073   , 0.007778769824653864 , 0.12005511784957627, 0.12359685960672144 ,     2306.2575781203914,    1312.1911153315427
approve - ange.wav  ,       , approve - ange  , add_noise   , -329.8471529771709 ,  29.39943492849566 ,  31.288814314886547, 27.83187855046283 , 17.27332906435416  , 13.152423002025804, 5.006742820832204   , 11.961774847202777, 2.8269318588410415  ,  9.238869072293927, 3.2248849643621247 ,  8.009803044933197 , -0.3430653471052854,  7.435100959571507, 0.8908103959739655 ,  7.23728855362776 , -1.6447952396669354  ,  5.813130147414805, -0.359705294104251  ,  6.097764244668357 , -0.7352564633487352  ,  5.597936790194613 , -1.712568948968164  ,  6.2232347618359185, -0.9014493733461019,  5.023674985760244 ,    8636.318610696231 ,    927.8094003258616,   9.624634338281224 , 0.011778941531991787 , 0.35455322265625   , 0.13851967686911645 ,     4496.237944296099 ,    1065.3964733061287
approve - ange.wav  ,       , approve - ange  , gain        , -457.7442626953125 ,  60.811466217041016, 104.07756805419922 , 37.88951110839844 , 20.874677658081055 , 25.003890991210938, -0.43180587887763977, 18.27398109436035 , 1.1477782726287842  , 11.064773559570312, 11.895696640014648 , 10.456809043884277 , -6.83756160736084  , 14.767512321472168, 7.425067901611328  ,  9.94983959197998 , -3.901559352874756   ,  8.500676155090332, 1.0424654483795166  ,  8.009793281555176 , -2.558391571044922   ,  6.942105770111084 , -2.8751888275146484 ,  8.97427749633789  , -0.7749192118644714,  5.459730625152588 ,    5067.58602366728  ,   2357.5136976707963,   6.985017776489258 , 0.010034549050033092 , 0.12761374080882354, 0.12134546873717941 ,     2395.8788921384626,    1284.5661031982388
approve - elissa.wav,       , approve - elissa, original    , -409.8414001464844 , 103.87737274169922 , 121.611083984375   , 88.78223419189453 , -4.006531238555908 , 32.03208923339844 , 53.40266036987305   , 47.417293548583984, -2.241055488586426  , 33.37818145751953 , 4.72263765335083   , 32.69125747680664  , -15.857666969299316, 26.807941436767578, -6.6463422775268555, 11.234050750732422, -2.201781988143921   , 10.921316146850586, -10.737345695495605 , 12.99396800994873  , -14.076018333435059  , 15.084274291992188 , -0.2589111626148224 ,  9.840964317321777 , 0.4532066583633423 ,  7.415963172912598 ,    3035.2028586647725,   1897.9806277766206,  47.28751754760742  , 0.046345118433237076 , 0.1322021484375    , 0.14215714095295834 ,     1861.5966091571843,    1513.1122233204558
approve - elissa.wav,       , approve - elissa, pitch_shift , -411.5767517089844 ,  93.73831939697266 , 114.86605834960938 , 90.00020599365234 , 0.15938767790794373, 33.34174728393555 , 43.53879928588867   , 38.76698303222656 , -16.117433547973633 , 27.920698165893555, -3.4752283096313477, 20.836584091186523 , -22.042390823364258, 29.380943298339844, 1.8461995124816895 , 22.428878784179688, -12.918079376220703  , 17.995750427246094, -13.155266761779785 , 12.686708450317383 , -3.982139825820923   , 10.970433235168457 , 3.114269495010376   ,  7.64496374130249  , -12.819133758544922, 10.4629545211792   ,    3551.2656471946025,   2277.57518596375  ,  25.664573669433594 , 0.034142687916755676 , 0.16642622514204544, 0.17764386453555817 ,     2187.8693823558474,    1831.5485398073065
approve - elissa.wav,       , approve - elissa, time_stretch, -415.1260986328125 ,  85.41240692138672 , 133.0562286376953  , 84.118896484375   , -6.713903903961182 , 24.705556869506836, 53.846195220947266  , 48.02998352050781 , -3.6000049114227295 , 32.13600158691406 , 4.3301005363464355 , 30.758445739746094 , -18.148040771484375, 27.178972244262695, -6.705811023712158 , 10.134771347045898, -1.454390525817871   , 10.51358413696289 , -11.5338134765625   , 13.677369117736816 , -15.218606948852539  , 14.055194854736328 , -1.454817771911621  ,  9.894556999206543 , -0.6657152771949768,  6.428232669830322 ,    2913.2157175164475,   1858.4191589618645,  22.469026565551758 , 0.03425907343626022  , 0.13724557976973684, 0.1479867609057234  ,     1777.210992509268 ,    1543.4413606984072
approve - elissa.wav,       , approve - elissa, add_noise   , -290.7632446360312 ,  55.069250333732704,  52.34593749441872 , 54.885743797285194, 22.176345072606008 , 21.580413773134886, 22.60172725139606   , 24.371783600194185, 1.579064989568803   , 19.53991309360695 , 2.149718712018228  , 18.530045474888276 , -8.034435844281296 , 11.55515771433341 , -5.434145375332267 ,  8.485710232995434, -1.1955778459428879  ,  8.597301335830196, -10.902632979534012 , 10.953795003206839 , -9.089918978668226   , 11.53267310713236  , -4.100028578562377  ,  7.826970567694275 , -2.067433679903356 ,  5.286320009033192 ,    6361.103959517045 ,   2432.5018054603447,  47.55173639744803  , 0.04647441452648894  , 0.25068803267045453, 0.17608275534605072 ,     3421.883239321963 ,    1600.1276426569177
approve - elissa.wav,       , approve - elissa, gain        , -394.4035949707031 , 103.87737274169922 , 121.61107635498047 , 88.7822265625     , -4.006528377532959 , 32.03208541870117 , 53.40266036987305   , 47.417293548583984, -2.241054058074951  , 33.378177642822266, 4.7226362228393555 , 32.69125747680664  , -15.857665061950684, 26.807941436767578, -6.6463398933410645, 11.234049797058105, -2.201784372329712   , 10.921316146850586, -10.737345695495605 , 12.99396800994873  , -14.076016426086426  , 15.084274291992188 , -0.25891220569610596,  9.840963363647461 , 0.4532066583633423 ,  7.415962219238281 ,    3035.2028586647725,   1897.9806277766206,  64.743896484375    , 0.05422881618142128  , 0.1322021484375    , 0.14215714095295834 ,     1861.5966079211007,    1513.1122260746251
approve - terry.wav ,       , approve - terry , original    , -265.3069152832031 ,  64.16692352294922 , 144.6106719970703  , 53.46940612792969 , 12.2863187789917   , 27.429977416992188, 35.528438568115234  , 34.015079498291016, 2.4915456771850586  , 23.434444427490234, 10.25822639465332  , 18.94443702697754  , -19.476898193359375, 16.08078956604004 , 1.143034815788269  , 12.43752670288086 , -7.078649520874023   , 11.462968826293945, -18.817951202392578 , 10.577839851379395 , -9.105864524841309   , 10.908592224121094 , -11.719756126403809 ,  9.33625602722168  , 0.34453991055488586,  7.903348445892334 ,    2243.960074491279 ,   1975.3505083726068, 385.1751403808594   , 0.133834108710289    , 0.07398028706395349, 0.0964169738455814  ,     1286.573392112305 ,    1167.705159502971
approve - terry.wav ,       , approve - terry , pitch_shift , -272.5002136230469 ,  48.35275650024414 , 132.79930114746094 , 52.098758697509766, 14.627784729003906 , 23.046823501586914, 24.48731803894043   , 31.876192092895508, -1.8117958307266235 , 15.82863998413086 , -2.103673219680786 , 18.08586883544922  , -21.635107040405273, 18.61668586730957 , 3.1067118644714355 , 14.980329513549805, -26.251405715942383  , 12.651264190673828, -11.740008354187012 , 12.905233383178711 , -9.519370079040527   , 10.401461601257324 , -3.398834228515625  ,  7.371495723724365 , -10.061027526855469,  7.172954082489014 ,    2801.3194949127906,   2318.845020098079 , 251.71046447753906  , 0.10819073766469955  , 0.08133857194767442, 0.09491895389846652 ,     1534.7432531753018,    1306.524287531618
approve - terry.wav ,       , approve - terry , time_stretch, -279.1557312011719 ,  48.72441101074219 , 143.06874084472656 , 47.30636215209961 , 13.85064697265625  , 18.89242935180664 , 34.76729965209961   , 35.152923583984375, 1.7407814264297485  , 21.63629913330078 , 13.039291381835938 , 17.43938446044922  , -20.488935470581055, 16.933622360229492, 0.1533663272857666 , 10.926582336425781, -6.561161518096924   ,  9.022075653076172, -19.985628128051758 ,  9.91911792755127  , -8.889267921447754   , 11.241605758666992 , -11.418893814086914 ,  9.556072235107422 , 1.4158638715744019 ,  7.2806077003479   ,    2373.8901499155404,   1944.2177599351646, 262.69134521484375  , 0.11852589249610901  , 0.06684174408783784, 0.07341940691784508 ,     1269.819676346561 ,    1043.6001220395558
approve - terry.wav ,       , approve - terry , add_noise   , -222.32837989034485,  42.27619384522366 , 102.74501673157681 , 38.69548509834333 , 29.991517926264706 , 19.604511526341373, 26.347618648866412  , 26.465509167931785, 6.953385234672385   , 21.988777110193688, 6.540752664137682  , 14.532095726711082 , -13.913736049643553, 14.006951443921507, -3.0159412320462122, 11.07770491997357 , -5.331612300352353   , 11.68730794136282 , -17.54785019741115  ,  9.51594147515106  , -11.63718461644076   , 12.09956748015848  , -8.941896722533933  ,  8.473309858046015 , -2.1256777145889387,  7.872646114206829 ,    3664.6507085755816,   2254.4178917496765, 385.3581145999975   , 0.13386593442640116  , 0.08522211119186046, 0.0947811783468322  ,     1917.2646698139165,    1101.5674364193608
